company_name,company_domain,cleaned_url,created_at,domain_age,votes_count,reviews_count,email_valid,email_guess,linkedin_enriched,linkedin_url,linkedin_follower_count,industry,industry_freq,employees,hq_country,hq_country_freq,hq_state,hq_city,lead_score,lead_score_final
Dory,apps.apple.com,https://apps.apple.com/us/app/dory-app-switcher/id6746273626,2025-06-30 07:01:00,0.01,217,0,0,,1,https://www.linkedin.com/company/dory-foundation,375.0,Non-profit Organizations,0.022222222222222223,6.0,,0.26666666666666666,,,0.06672348259002159,0.09249518443240509
Fabi.ai Workflows,fabi.ai,https://www.fabi.ai/,2025-06-30 07:01:00,0.01,200,0,1,contact@fabi.ai,1,https://www.linkedin.com/company/fabi-ai,2221.0,Software Development,0.5333333333333333,6.0,US,0.4444444444444444,CA,San Francisco,0.22636621161359444,0.395816676181729
DemoDazzle,demodazzle.com,https://demodazzle.com/,2025-06-30 07:01:00,0.01,200,0,1,contact@demodazzle.com,1,https://no.linkedin.com/company/agami-technologies,3195.0,IT Services and IT Consulting,0.044444444444444446,5000.0,US,0.4444444444444444,Illinois,Naperville,0.22742991239884902,0.39783770971662125
Mindly ,mindly-ai.com,https://www.mindly-ai.com/,2025-07-01 07:01:00,0.01,196,0,1,contact@mindly-ai.com,1,https://ee.linkedin.com/company/mindlyspace,1110.0,Mental Health Care,0.022222222222222223,1000.0,EE,0.022222222222222223,Harju County,Tallinn,0.16398886919204236,0.27729960578092316
Retainr.io,retainr.io,https://www.retainr.io/,2025-06-30 07:01:00,0.01,176,0,1,contact@retainr.io,1,https://www.linkedin.com/company/fondohq,8164.0,Software Development,0.5333333333333333,125.0,US,0.4444444444444444,,San Francisco,0.2270779688142791,0.3971690162300072
Bolt Connect,bolt.com,https://www.bolt.com/connect,2025-06-30 07:01:00,0.01,166,0,1,contact@bolt.com,1,https://www.linkedin.com/company/bolt-com,66941.0,Software Development,0.5333333333333333,125.0,US,0.4444444444444444,California,San Francisco,0.2273176801728415,0.3976244682716574
Byterover,byterover.dev,https://byterover.dev/,2025-06-29 07:01:00,0.01,595,0,1,contact@byterover.dev,1,https://www.linkedin.com/company/1manbiz,8.0,Software Development,0.5333333333333333,6.0,,0.26666666666666666,,,0.2260958333071999,0.3953029568802998
MyLens.ai,mylens.ai,https://mylens.ai/,2025-06-29 07:01:00,0.01,572,0,1,contact@mylens.ai,1,https://www.linkedin.com/company/mylens-ai,183.0,Software Development,0.5333333333333333,1.0,,0.26666666666666666,,,0.2255443507915202,0.39425513904134935
Oboe,oboeapp.com,https://www.oboeapp.com/,2025-06-29 07:01:00,0.01,301,0,1,contact@oboeapp.com,1,https://www.linkedin.com/company/oboelabs,1037.0,Software Development,0.5333333333333333,6.0,US,0.4444444444444444,NY,New York City,0.22856511180079822,0.3999945907605511
Neura,neura-app.com,https://neura-app.com/,2025-06-29 07:01:00,0.01,291,0,1,contact@neura-app.com,1,https://www.linkedin.com/company/neura-robotics/,48780.0,Automation Machinery Manufacturing,0.022222222222222223,750.0,DE,0.022222222222222223,Deutschland,Metzingen,0.16393730275531576,0.2772016294521058
Leavoo,leavoo.com,https://www.leavoo.com/,2025-06-29 07:01:00,0.01,275,0,1,contact@leavoo.com,1,https://ru.linkedin.com/company/hit-pay?trk=similar-pages_result-card_full-click,8163.0,Financial Services,0.022222222222222223,31.0,SG,0.022222222222222223,Singapore,Singapore,0.15608005230550484,0.26227283850709016
